iter	RMSE
0	29.64522574
1	29.06626092
2	28.53742429
3	28.0987384
4	27.72257746
5	27.3383001
6	27.02175068
7	26.70686096
8	26.45367739
9	26.23845948
10	26.02014859
11	25.852616
12	25.68144841
13	25.56110733
14	25.3443032
15	25.21945848
16	25.0199441
17	24.93892313
18	24.77906982
19	24.67452355
20	24.60442281
21	24.47074063
22	24.3845218
23	24.30857245
24	24.23044543
25	24.17314036
26	24.11580535
27	24.01671993
28	23.94251551
29	23.86133289
30	23.81059844
31	23.76570791
32	23.70400472
33	23.64578239
34	23.57138198
35	23.52802821
36	23.49992562
37	23.45972058
38	23.43280342
39	23.37822514
40	23.34626772
41	23.27951441
42	23.18512565
43	23.14571622
44	23.11381889
45	23.05278284
46	23.02336264
47	22.95182807
48	22.93073265
49	22.89502075
50	22.82493366
51	22.77003115
52	22.7228799
53	22.69783808
54	22.63230361
55	22.58877609
56	22.51431089
57	22.49367449
58	22.45823416
59	22.43464913
60	22.40534604
61	22.38929684
62	22.3525604
63	22.31881305
64	22.2864898
65	22.26089926
66	22.24283277
67	22.19444101
68	22.18280113
69	22.14129938
70	22.08909225
71	22.06874335
72	22.03892052
73	22.00433845
74	21.99085096
75	21.96861057
76	21.93079972
77	21.83599486
78	21.7926161
79	21.77230614
80	21.75519219
81	21.73485658
82	21.71678218
83	21.68733984
84	21.64639676
85	21.62237904
86	21.57312332
87	21.54794038
88	21.53880452
89	21.52797407
90	21.51130432
91	21.49275575
92	21.4901682
93	21.46977696
94	21.44877643
95	21.43355414
96	21.39893373
97	21.37837059
98	21.36974183
99	21.33751773
100	21.31150554
101	21.29081934
102	21.27926514
103	21.24260728
104	21.19546889
105	21.18451435
106	21.16863671
107	21.15887891
108	21.14641059
109	21.11835673
110	21.10276868
111	21.09094838
112	21.06680459
113	21.05009647
114	21.04342165
115	20.99946474
116	20.98292044
117	20.97942218
118	20.96717163
119	20.93862424
120	20.88981963
121	20.88690558
122	20.87222367
123	20.84120105
124	20.81796664
125	20.80991485
126	20.77614255
127	20.74088007
128	20.72523886
129	20.71393295
130	20.69476558
131	20.66997334
132	20.65741825
133	20.63769336
134	20.61993519
135	20.55536203
136	20.5144333
137	20.49592551
138	20.48670558
139	20.4613157
140	20.44638994
141	20.42068545
142	20.38892693
143	20.37718119
144	20.33824924
145	20.30172567
146	20.28288244
147	20.26201626
148	20.24951122
149	20.23626269
150	20.18612822
151	20.14823807
152	20.12697014
153	20.12317941
154	20.11902908
155	20.0969478
156	20.08254411
157	20.05045353
158	20.03379646
159	20.02023919
160	19.99575934
161	19.98173306
162	19.95705461
163	19.92540297
164	19.91112577
165	19.90642073
166	19.89788527
167	19.88609372
168	19.87226124
169	19.86079333
170	19.85012795
171	19.82386104
172	19.79276395
173	19.77987675
174	19.76219705
175	19.760154
176	19.72794498
177	19.71790847
178	19.71455496
179	19.68587028
180	19.6803831
181	19.65420506
182	19.62842914
183	19.59776534
184	19.56841605
185	19.54243623
186	19.53359624
187	19.51800073
188	19.49030293
189	19.47098151
190	19.45776442
191	19.44092204
192	19.43511925
193	19.3968095
194	19.38498061
195	19.3673864
196	19.35963723
197	19.34982942
198	19.34065366
199	19.32805497
200	19.30797316
201	19.29173509
202	19.26396416
203	19.25674168
204	19.25287553
205	19.23783441
206	19.23279254
207	19.22587972
208	19.21954854
209	19.20708174
210	19.19567726
211	19.18325459
212	19.17400621
213	19.16298983
214	19.14704584
215	19.13700898
216	19.12900543
217	19.10397211
218	19.08281672
219	19.0746022
220	19.06586735
221	19.05782472
222	19.03496236
223	19.0211943
224	19.0027423
225	18.98607373
226	18.97098956
227	18.96450227
228	18.95243525
229	18.94304834
230	18.94131333
231	18.93855824
232	18.93107889
233	18.91627269
234	18.89713444
235	18.87556486
236	18.85600659
237	18.84311062
238	18.82106584
239	18.80481833
240	18.79521733
241	18.79070643
242	18.78321728
243	18.78109979
244	18.76386023
245	18.75792088
246	18.73124372
247	18.71931195
248	18.710365
249	18.68653465
250	18.64474236
251	18.64003457
252	18.62863728
253	18.60910402
254	18.5935473
255	18.58013204
256	18.57405512
257	18.57171546
258	18.55595808
259	18.54928184
260	18.54207651
261	18.52473212
262	18.52071159
263	18.50703613
264	18.49757577
265	18.48737244
266	18.47781403
267	18.46696174
268	18.44947767
269	18.44565442
270	18.44282502
271	18.43123782
272	18.42371577
273	18.41911307
274	18.40947676
275	18.40877804
276	18.40258351
277	18.38782402
278	18.37025212
279	18.36279541
280	18.34012888
281	18.32905288
282	18.32254293
283	18.31255569
284	18.29948821
285	18.27240708
286	18.26653189
287	18.24799136
288	18.24538152
289	18.23365201
290	18.23211896
291	18.22281191
292	18.21939881
293	18.19987514
294	18.19060778
295	18.1757321
296	18.15809861
297	18.14283557
298	18.12344679
299	18.11587901
300	18.10089261
301	18.09385167
302	18.0691194
303	18.06056876
304	18.05739704
305	18.04969902
306	18.0199826
307	18.0090144
308	17.99910599
309	17.9821455
310	17.97385769
311	17.9648687
312	17.95115859
313	17.94241844
314	17.9283705
315	17.92638582
316	17.91487559
317	17.91363422
318	17.91169339
319	17.90342584
320	17.89348446
321	17.88477768
322	17.87850821
323	17.87461791
324	17.86534978
325	17.84521077
326	17.83555845
327	17.82368901
328	17.81906
329	17.81086483
330	17.80639157
331	17.78797077
332	17.78578798
333	17.77147996
334	17.75628909
335	17.74413066
336	17.74089267
337	17.72842445
338	17.71841791
339	17.71734358
340	17.71098412
341	17.69832395
342	17.68192944
343	17.67874945
344	17.66005097
345	17.63015975
346	17.6246668
347	17.61163225
348	17.60668127
349	17.5915855
350	17.58286403
351	17.56953381
352	17.56392193
353	17.5588555
354	17.55082588
355	17.53637425
356	17.53012931
357	17.51964349
358	17.51448267
359	17.51378828
360	17.50545662
361	17.49344295
362	17.48889048
363	17.47595389
364	17.4665966
365	17.45504939
366	17.45493637
367	17.44726293
368	17.44454561
369	17.44264167
370	17.43982115
371	17.42899389
372	17.41717906
373	17.4081521
374	17.40190136
375	17.3915345
376	17.3846253
377	17.38071777
378	17.37841665
379	17.37691466
380	17.37433217
381	17.3647048
382	17.35580741
383	17.35181964
384	17.3471008
385	17.33693761
386	17.33157961
387	17.32213356
388	17.31476106
389	17.29842217
390	17.29650032
391	17.29274941
392	17.28765875
393	17.28496282
394	17.27632925
395	17.27432613
396	17.26020014
397	17.25437215
398	17.2452885
399	17.23843586
400	17.23402112
401	17.22840746
402	17.22387465
403	17.21780052
404	17.2143408
405	17.20967153
406	17.20389901
407	17.19794646
408	17.19691069
409	17.18467924
410	17.18205478
411	17.16935598
412	17.16180998
413	17.16046295
414	17.15487948
415	17.14224414
416	17.13229962
417	17.12430801
418	17.11164853
419	17.1073829
420	17.1068874
421	17.10469482
422	17.08476596
423	17.07530319
424	17.07045915
425	17.06552839
426	17.06202036
427	17.05368307
428	17.05202321
429	17.04905479
430	17.04567239
431	17.04241695
432	17.02702117
433	17.01712421
434	17.00823788
435	16.99984924
436	16.99628168
437	16.99035018
438	16.98437648
439	16.97587642
440	16.97008492
441	16.96248229
442	16.9565933
443	16.95359209
444	16.94442569
445	16.936706
446	16.93175601
447	16.92821571
448	16.92681725
449	16.92341251
450	16.91721236
451	16.91246673
452	16.90669537
453	16.90611575
454	16.90213002
455	16.90091667
456	16.89714473
457	16.89005538
458	16.88605629
459	16.88552769
460	16.88129246
461	16.88021757
462	16.86812672
463	16.86570081
464	16.84840165
465	16.84577412
466	16.8454675
467	16.8437136
468	16.84310377
469	16.8364328
470	16.82140471
471	16.81250881
472	16.80316513
473	16.80116717
474	16.7928787
475	16.78765803
476	16.78287207
477	16.77331443
478	16.76832998
479	16.75508822
480	16.75161757
481	16.73783292
482	16.73766123
483	16.72986821
484	16.72903406
485	16.71691347
486	16.7035608
487	16.69213216
488	16.6852608
489	16.67368359
490	16.67117607
491	16.6634598
492	16.65641166
493	16.64458181
494	16.63794067
495	16.63707714
496	16.62900533
497	16.62061679
498	16.62027913
499	16.60648442
500	16.6025292
501	16.59567692
502	16.59351642
503	16.5854468
504	16.58185994
505	16.58135124
506	16.57605088
507	16.56379029
508	16.5621483
509	16.56088058
510	16.5560498
511	16.55098703
512	16.54530861
513	16.54117571
514	16.53688835
515	16.53110787
516	16.52938666
517	16.52751685
518	16.51936457
519	16.51817976
520	16.51540999
521	16.51264054
522	16.51039884
523	16.50059266
524	16.49732861
525	16.49334709
526	16.4833687
527	16.47950985
528	16.4704358
529	16.46526745
530	16.4608362
531	16.44950215
532	16.44590697
533	16.43963768
534	16.43543314
535	16.42951553
536	16.42606207
537	16.42242282
538	16.41979216
539	16.41570782
540	16.41313963
541	16.40647847
542	16.39969607
543	16.39959826
544	16.39672963
545	16.39506904
546	16.38535092
547	16.38408043
548	16.3755065
549	16.37022388
550	16.36049957
551	16.35562832
552	16.35295924
553	16.3423774
554	16.335711
555	16.33131407
556	16.32348921
557	16.3172432
558	16.31509785
559	16.31221111
560	16.30867048
561	16.29919321
562	16.2930755
563	16.28843941
564	16.281119
565	16.27641266
566	16.26966544
567	16.26608877
568	16.23779657
569	16.22134496
570	16.21292896
571	16.20564386
572	16.20529046
573	16.20136921
574	16.19700925
575	16.19530233
576	16.18924242
577	16.1843453
578	16.18161225
579	16.17571779
580	16.172819
581	16.16171203
582	16.16158974
583	16.15982898
584	16.15035007
585	16.15020336
586	16.13791344
587	16.13497572
588	16.12955476
589	16.11855089
590	16.11296171
591	16.1100845
592	16.10748798
593	16.10594757
594	16.10271078
595	16.09328342
596	16.0888736
597	16.0831722
598	16.08309328
599	16.07184445
600	16.06370992
601	16.04958982
602	16.0456263
603	16.04402933
604	16.04037533
605	16.03236447
606	16.02682636
607	16.02488533
608	16.01984122
609	16.01952746
610	16.01152519
611	16.00702083
612	16.00009584
613	15.98615131
614	15.98071411
615	15.97963441
616	15.97770909
617	15.96992231
618	15.9640182
619	15.95774661
620	15.95765884
621	15.95593429
622	15.95310974
623	15.95038408
624	15.94420358
625	15.93959965
626	15.93406042
627	15.92658541
628	15.92362434
629	15.91772989
630	15.9152587
631	15.9150025
632	15.9131173
633	15.90825067
634	15.90184555
635	15.89144905
636	15.88458069
637	15.87759939
638	15.87173355
639	15.8688278
640	15.86644744
641	15.86172576
642	15.85617835
643	15.8517562
644	15.8475847
645	15.84755296
646	15.84180279
647	15.83636924
648	15.82811256
649	15.82320147
650	15.82152408
651	15.81441497
652	15.80784542
653	15.80677672
654	15.7991138
655	15.78732163
656	15.78332061
657	15.77645037
658	15.77524972
659	15.7696598
660	15.76448727
661	15.75631958
662	15.75227837
663	15.74873439
664	15.74612284
665	15.74438502
666	15.73729584
667	15.73559915
668	15.72946749
669	15.72552968
670	15.71911491
671	15.71251933
672	15.70868057
673	15.70607617
674	15.70305604
675	15.69735894
676	15.68873618
677	15.68237979
678	15.67998174
679	15.67879372
680	15.66562096
681	15.65942361
682	15.65586136
683	15.65296275
684	15.64989617
685	15.64525661
686	15.63954676
